序,日期,代號,成交筆數,總成交金額,總成交股數,開盤價,最高價,最低價,收盤價,證券商,成交單價,買進股數,賣出股數
1,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,104A,21.5,1000,0
2,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,104A,21.6,1000,0
3,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,104A,21.9,0,1000
4,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,116B,21.5,0,3000
5,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,1230,21.55,0,1000
6,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,126V,21.5,1000,0
7,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,126V,21.6,1000,0
8,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,126V,21.7,1000,0
9,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,126V,21.75,1000,0
10,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,126V,21.8,1000,0
11,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,126V,21.85,1000,0
12,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,126V,21.9,2000,0
13,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,126V,22.0,11000,0
14,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,1440,21.5,0,2000
15,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,1440,21.55,0,1000
16,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,1440,21.6,0,1000
17,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,1440,21.7,0,1000
18,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,1440,21.8,0,2000
19,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,1480,21.5,0,1000
20,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,1480,21.55,0,2000
21,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,1480,21.6,0,1000
22,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,526K,21.5,3000,0
23,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,538X,21.4,0,199
24,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,592b,21.85,0,1000
25,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,592b,21.9,0,1000
26,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,592b,22.0,0,10000
27,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,592D,21.55,1000,0
28,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,6531,21.55,0,1000
29,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,6531,21.8,1000,0
30,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,7008,21.55,5000,0
31,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,8150,21.5,2000,0
32,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,845D,21.4,400,0
33,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,8847,21.4,0,201
34,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,9648,21.5,0,2000
35,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,9648,21.6,2000,0
36,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,9817,21.75,0,1000
37,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,9899,21.55,0,1000
38,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,9899,21.6,0,2000
39,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,9A9q,21.5,1000,0
40,2016-05-18,1203.0,24.0,790959.0,36400.0,21.75,22.0,21.5,21.55,9A9q,22.0,0,1000
